         26059995 function calls (26045129 primitive calls) in 52.058 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   946080    0.925    0.000    0.925    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:260(min_max_norm)
   105120    0.793    0.000   29.678    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:488(update_output)
   105120    0.691    0.000   44.725    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\simulator\simulator.py:38(do_system_time_step)
  7250618    0.683    0.000    0.683    0.000 {method 'append' of 'list' objects}
   105120    0.545    0.000    0.545    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\physical_object\building_object\building_device\distribution_device\distribution_flow_device\flow_terminal\space_heater\space_heater_model.py:19(update_output)
   210240    0.529    0.000    0.529    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\physical_object\building_object\building_device\distribution_device\distribution_control_device\controller\controller_model.py:20(update_output)
   210240    0.464    0.000    0.464    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\physical_object\building_object\building_device\distribution_device\distribution_flow_device\flow_moving_device\fan\fan_model.py:23(update_output)
       10    0.396    0.040    0.629    0.063 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\numpy\lib\function_base.py:2234(_vectorize_call)
   105120    0.362    0.000    0.470    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\physical_object\building_object\building_device\distribution_device\distribution_flow_device\energy_conversion_device\air_to_air_heat_recovery\air_to_air_heat_recovery_model.py:27(update_output)
        1    0.354    0.354   52.058   52.058 c:/Users/jabj/OneDrive - Syddansk Universitet/PhD_Project_Jakob/Twin4build/python/BuildingEnergyModel/BuildingEnergyModel/twin4build/test/test.py:21(test)
   105120    0.339    0.000    0.522    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:277(pack)
   308639    0.272    0.000    0.662    0.000 {built-in method builtins.sum}
   105171    0.266    0.000    0.284    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\autograd\grad_mode.py:126(__init__)
   105120    0.265    0.000    0.265    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\physical_object\building_object\building_device\distribution_device\distribution_flow_device\flow_controller\valve\valve_model.py:14(update_output)
   420496    0.236    0.000    0.236    0.000 {built-in method numpy.zeros}
   105121    0.234    0.000    0.447    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:267(unpack)
   105120    0.233    0.000    2.455    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:272(get_input_dict)
   210342    0.226    0.000    0.331    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\autograd\grad_mode.py:226(__init__)
   105120    0.207    0.000    0.207    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:66(update_output)
   210240    0.205    0.000    0.272    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\physical_object\building_object\building_device\distribution_device\distribution_flow_device\flow_controller\damper\damper_model.py:11(update_output)
      432    0.185    0.000    0.185    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   105120    0.184    0.000    0.184    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:280(<listcomp>)
   105171    0.149    0.000    0.353    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\autograd\grad_mode.py:135(__exit__)
   105171    0.147    0.000    0.327    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\autograd\grad_mode.py:131(__enter__)
   420480    0.141    0.000    0.141    0.000 {method 'tolist' of 'numpy.ndarray' objects}
   420480    0.141    0.000    0.141    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\node.py:11(<genexpr>)
        1    0.140    0.140    0.140    0.140 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\simulator\simulator.py:48(<listcomp>)
      510    0.137    0.000    0.371    0.001 {method 'Parse' of 'pyexpat.xmlparser' objects}
      192    0.132    0.001    0.132    0.001 {method 'read' of '_io.FileIO' objects}
   105121    0.132    0.000    0.132    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:269(<listcomp>)
        1    0.122    0.122    0.123    0.123 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\onnxruntime\capi\onnxruntime_inference_collection.py:358(_create_inference_session)
      327    0.121    0.000    0.121    0.000 {built-in method torch._C._jit_pass_onnx_node_shape_type_inference}
   315513    0.118    0.000    0.118    0.000 {built-in method torch.is_grad_enabled}
   105121    0.116    0.000    0.507    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\tqdm\std.py:1174(__iter__)
     6389    0.113    0.000    0.113    0.000 {built-in method winreg.OpenKey}
    80142    0.105    0.000    0.159    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\xml\etree\ElementTree.py:1544(_start)
   194084    0.101    0.000    0.164    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\node.py:13(<genexpr>)
     2151    0.100    0.000    0.100    0.000 {built-in method nt.stat}
   105120    0.099    0.000    0.099    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\physical_object\building_object\building_device\distribution_device\distribution_flow_device\energy_conversion_device\coil\coil_heating_model.py:12(update_output)
807905/807003    0.085    0.000    0.086    0.000 {built-in method builtins.len}
      192    0.081    0.000    0.213    0.001 <frozen importlib._bootstrap_external>:914(get_data)
   106551    0.079    0.000    0.079    0.000 {built-in method builtins.max}
        1    0.077    0.077   45.454   45.454 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\simulator\simulator.py:50(simulate)
      565    0.074    0.000    0.277    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\symbolic_registry.py:81(get_ops_in_version)
       42    0.067    0.002    0.067    0.002 {built-in method numpy.asanyarray}
   210240    0.067    0.000    0.067    0.000 {built-in method math.exp}
   101661    0.064    0.000    0.064    0.000 {method 'replace' of 'str' objects}
        1    0.062    0.062    0.062    0.062 {built-in method torch._C._check_onnx_proto}
     1130    0.061    0.000    0.155    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\inspect.py:316(getmembers)
      433    0.055    0.000    0.055    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\pydot.py:530(create_attribute_methods)
   249532    0.053    0.000    0.085    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\tqdm\utils.py:330(<genexpr>)
        2    0.051    0.026    0.051    0.026 {built-in method torch._C._jit_pass_onnx_graph_shape_type_inference}
   105121    0.049    0.000    0.049    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:268(<listcomp>)
   312379    0.043    0.000    0.043    0.000 {method 'items' of 'dict' objects}
   310625    0.041    0.000    0.041    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\xml\etree\ElementTree.py:1533(_fixname)
   210342    0.039    0.000    0.039    0.000 {built-in method torch._C._set_grad_enabled}
        6    0.039    0.007    0.039    0.007 {built-in method torch.lstm}
        1    0.038    0.038    0.571    0.571 {built-in method torch._C._jit_pass_onnx}
        1    0.036    0.036    0.216    0.216 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\mimetypes.py:231(read_windows_registry)
297487/296956    0.035    0.000    0.038    0.000 {built-in method builtins.isinstance}
    12410    0.034    0.000    0.072    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\random.py:174(randrange)
     6389    0.033    0.000    0.033    0.000 {built-in method winreg.EnumKey}
   248269    0.032    0.000    0.032    0.000 {built-in method unicodedata.east_asian_width}
   105581    0.032    0.000    0.040    0.000 {method 'extend' of 'list' objects}
113032/113026    0.030    0.000    0.030    0.000 {built-in method builtins.getattr}
   106039    0.030    0.000    0.030    0.000 {built-in method builtins.min}
    79962    0.029    0.000    0.044    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\xml\etree\ElementTree.py:1556(_end)
    18278    0.028    0.000    0.044    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\utils\cell.py:74(_get_column_letter)
        2    0.026    0.013    0.026    0.013 {method 'reshape' of 'torch._C._TensorBase' objects}
   105120    0.026    0.000    0.026    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\onnxruntime\capi\onnxruntime_inference_collection.py:117(get_inputs)
    77266    0.026    0.000    0.073    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\xml\etree\ElementTree.py:1512(handler)
    12418    0.025    0.000    0.039    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\random.py:224(_randbelow)
     1144    0.025    0.000    0.025    0.000 {built-in method winreg.QueryValueEx}
       27    0.024    0.001    0.024    0.001 {built-in method io.open}
      158    0.024    0.000    0.024    0.000 {built-in method torch.tensor}
     1130    0.023    0.000    0.023    0.000 {built-in method builtins.dir}
    56952    0.022    0.000    0.022    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\symbolic_registry.py:121(is_registered_op)
    12082    0.021    0.000    0.048    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\worksheet\_reader.py:177(parse_cell)
     6759    0.020    0.000    0.329    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\worksheet\_reader.py:113(parse)
    80142    0.019    0.000    0.019    0.000 {method 'start' of 'xml.etree.ElementTree.TreeBuilder' objects}
        3    0.019    0.006    0.019    0.006 {built-in method _winapi.CreateProcess}
   263089    0.019    0.000    0.019    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:31(<lambda>)
   263089    0.019    0.000    0.019    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:48(<lambda>)
   105171    0.019    0.000    0.019    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\_jit_internal.py:958(is_scripting)
        1    0.019    0.019    1.690    1.690 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:8(__init__)
    81492    0.018    0.000    0.025    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\inspect.py:158(isfunction)
      565    0.018    0.000    0.317    0.001 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\symbolic_registry.py:46(register_ops_helper)
   263089    0.018    0.000    0.018    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:35(<lambda>)
        6    0.017    0.003    0.019    0.003 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\nn\modules\rnn.py:198(check_input)
    32155    0.017    0.000    0.018    0.000 {built-in method builtins.hasattr}
       44    0.017    0.000    0.017    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
    12082    0.017    0.000    0.018    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\utils\cell.py:193(coordinate_to_tuple)
   263089    0.016    0.000    0.016    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:45(<lambda>)
   263089    0.016    0.000    0.016    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:46(<lambda>)
   263089    0.016    0.000    0.016    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:32(<lambda>)
   263089    0.016    0.000    0.016    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:34(<lambda>)
   263089    0.016    0.000    0.016    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:47(<lambda>)
    42450    0.016    0.000    0.023    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\xml\etree\ElementTree.py:1287(read_events)
   263089    0.016    0.000    0.016    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:44(<lambda>)
 2877/957    0.015    0.000    0.064    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
      421    0.015    0.000    0.105    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\tqdm\std.py:355(format_meter)
     6750    0.015    0.000    0.024    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\worksheet\_read_only.py:101(_get_row)
   263089    0.015    0.000    0.015    0.000 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\utils\weather_station.py:33(<lambda>)
     6750    0.015    0.000    0.077    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\worksheet\_reader.py:265(parse_row)
     6709    0.014    0.000    0.017    0.000 {method 'format' of 'str' objects}
     1164    0.013    0.000    0.021    0.000 {method 'sort' of 'list' objects}
    13877    0.013    0.000    0.029    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\pandas\io\excel\_openpyxl.py:549(_convert_cell)
      192    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
       51    0.012    0.000    0.012    0.000 {method 'size' of 'torch._C._TensorBase' objects}
  327/324    0.012    0.000    0.153    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\_patch_torch.py:11(_graph_op)
        9    0.011    0.001    0.413    0.046 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\pandas\io\excel\_openpyxl.py:565(get_sheet_data)
        1    0.011    0.011    0.013    0.013 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\utils.py:196(_split_tensor_list_constants)
        1    0.011    0.011    0.011    0.011 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\utils.py:1206(_apply_friendly_debug_names)
       24    0.011    0.000    0.011    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
    19853    0.010    0.000    0.010    0.000 {method 'getrandbits' of '_random.Random' objects}
       27    0.010    0.000    0.010    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
        1    0.010    0.010    1.700    1.700 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\model\model.py:142(add_weather_station)
        1    0.010    0.010    0.158    0.158 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\utils.py:569(_create_jit_graph)
    82744    0.010    0.000    0.010    0.000 {method 'add' of 'set' objects}
    15000    0.009    0.000    0.015    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\descriptors\base.py:38(__set__)
       10    0.009    0.001    0.638    0.064 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\numpy\lib\function_base.py:2135(__call__)
       12    0.009    0.001    0.015    0.001 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\nn\modules\rnn.py:223(check_hidden_size)
     7013    0.008    0.000    0.363    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\worksheet\_read_only.py:58(_cells_by_row)
      327    0.008    0.000    0.018    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\_patch_torch.py:102(_new_node)
     1020    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x00007FFBB604E3F0}
        1    0.008    0.008    0.145    0.145 {built-in method torch._C._create_graph_by_tracing}
        1    0.008    0.008    0.055    0.055 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\utils\cell.py:5(<module>)
        1    0.008    0.008    0.119    0.119 c:\Users\jabj\OneDrive - Syddansk Universitet\PhD_Project_Jakob\Twin4build\python\BuildingEnergyModel\BuildingEnergyModel\twin4build\saref4bldg\building_space\building_space_model.py:128(forward)
42256/42184    0.008    0.000    0.396    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\xml\etree\ElementTree.py:1219(iterator)
    66548    0.007    0.000    0.007    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\inspect.py:357(<lambda>)
      419    0.007    0.000    0.388    0.001 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\tqdm\std.py:1212(update)
    32225    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
    12082    0.007    0.000    0.009    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\cell\read_only.py:14(__init__)
       24    0.007    0.000    0.007    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
      293    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      775    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
16023/15998    0.006    0.000    0.036    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     6750    0.006    0.000    0.054    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\worksheet\_reader.py:286(<listcomp>)
     2812    0.006    0.000    0.008    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\ntpath.py:122(splitdrive)
       84    0.006    0.000    0.006    0.000 {pandas._libs.lib.maybe_convert_numeric}
     7004    0.006    0.000    0.035    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\pandas\io\excel\_openpyxl.py:573(<listcomp>)
      113    0.005    0.000    0.531    0.005 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\utils.py:1349(_run_symbolic_function)
     6389    0.005    0.000    0.039    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\mimetypes.py:244(enum_types)
7851/7727    0.005    0.000    0.015    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\descriptors\base.py:64(__set__)
     1397    0.005    0.000    0.014    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\ntpath.py:75(join)
     4796    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
    19070    0.005    0.000    0.005    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\descriptors\base.py:23(__set__)
     2515    0.005    0.000    0.005    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\tqdm\std.py:233(__call__)
    21326    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
    56209    0.005    0.000    0.005    0.000 {built-in method builtins.divmod}
    36606    0.005    0.000    0.005    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
        2    0.005    0.002    0.005    0.002 {built-in method torch._C._jit_pass_peephole}
    79962    0.005    0.000    0.005    0.000 {method 'end' of 'xml.etree.ElementTree.TreeBuilder' objects}
    12082    0.005    0.000    0.005    0.000 {method 'findtext' of 'xml.etree.ElementTree.Element' objects}
    77267    0.005    0.000    0.005    0.000 {method 'append' of 'collections.deque' objects}
   5455/3    0.005    0.000    0.011    0.004 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\copy.py:132(deepcopy)
    54736    0.004    0.000    0.004    0.000 {built-in method builtins.chr}
       90    0.004    0.000    0.007    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\pandas\core\internals\blocks.py:1931(new_block)
     6750    0.004    0.000    0.008    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\worksheet\_reader.py:281(<setcomp>)
      127    0.004    0.000    0.010    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\inspect.py:2117(_signature_from_function)
      424    0.004    0.000    0.015    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\descriptors\__init__.py:18(__new__)
      430    0.004    0.000    0.199    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\colorama\ansitowin32.py:185(write_and_convert)
       24    0.004    0.000    0.005    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\serialization.py:994(load_tensor)
       20    0.004    0.000    0.004    0.000 {built-in method torch.zeros}
      430    0.004    0.000    0.005    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\colorama\ansitowin32.py:253(convert_osc)
      244    0.004    0.000    0.008    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\_patch_torch.py:143(_add_attribute)
     7520    0.004    0.000    0.004    0.000 {method 'clear' of 'xml.etree.ElementTree.Element' objects}
       68    0.004    0.000    0.071    0.001 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\symbolic_opset9.py:5154(Constant)
      421    0.004    0.000    0.005    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\tqdm\std.py:1460(format_dict)
      202    0.004    0.000    0.004    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\_patch_torch.py:225(_node_getitem)
 1521/612    0.004    0.000    0.006    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\openpyxl\descriptors\serialisable.py:204(__hash__)
      430    0.003    0.000    0.189    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\colorama\ansitowin32.py:201(write_plain_text)
      675    0.003    0.000    0.038    0.000 {built-in method builtins.__build_class__}
    13765    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
        1    0.003    0.003    0.896    0.896 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\utils.py:988(_export)
       18    0.003    0.000    0.010    0.001 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\zipfile.py:1317(_RealGetContents)
      455    0.003    0.000    0.004    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\pydot.py:233(<listcomp>)
      115    0.003    0.000    0.003    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\torch\onnx\symbolic_helper.py:387(is_caffe2_aten_fallback)
      421    0.003    0.000    0.112    0.000 C:\ProgramData\Anaconda3\envs\py3-7-12\lib\site-packages\tqdm\std.py:1164(__str__)
